Commit A,Commit B,Similarity
fixing negative integers by using the absolute value before computing the digit sum.,exception handling of Sockets with Fore color using colorama module,0.3
fixing negative integers by using the absolute value before computing the digit sum.,Fix typos in brickout-game/brickout-game.py,0.33
add the docs for the sum_of_digits,add the docs for the sum_of_digits,1.0
add the docs for the sum_of_digits,use of json with loop for index,0.34
add the docs for the sum_of_digits,comment for start,0.31
add the docs for the sum_of_digits,adding useful comment for cat,0.35
add the docs for the sum_of_digits,Fix incorrect Manhattan distance calculation for custom goal states,0.32
add the docs for the sum_of_digits,Add RemoteOK job scraper script,0.34
add the docs for the sum_of_digits,Added comments in currency convertor main.py file for more readeability of code,0.3
add the docs for the sum_of_digits,Fix typos in Electronics_Algorithms/resistance.py,0.34
add the docs for the sum_of_digits,Fix typos in Compression_Analysis/PSNR.py,0.32
add the docs for the sum_of_digits,Fix typos in Checker_game_by_dz/first.py,0.32
add the docs for the sum_of_digits,Fix typos in Checker_game_by_dz/modules/__init__.py,0.31
add the docs for the sum_of_digits,moved example projects from old repo,0.37
add the docs for the sum_of_digits,use of json with loop for index,0.34
add the docs for the sum_of_digits,comment for start,0.31
add the docs for the sum_of_digits,adding useful comment for cat,0.35
add the docs for the sum_of_digits,Fix incorrect Manhattan distance calculation for custom goal states,0.32
add the docs for the sum_of_digits,Add RemoteOK job scraper script,0.34
add the docs for the sum_of_digits,Added comments in currency convertor main.py file for more readeability of code,0.3
add the docs for the sum_of_digits,Fix typos in Electronics_Algorithms/resistance.py,0.34
add the docs for the sum_of_digits,Fix typos in Compression_Analysis/PSNR.py,0.32
add the docs for the sum_of_digits,Fix typos in Checker_game_by_dz/first.py,0.32
add the docs for the sum_of_digits,Fix typos in Checker_game_by_dz/modules/__init__.py,0.31
add the docs for the sum_of_digits,moved example projects from old repo,0.37
valid url check with exception handeling,exception handling of Sockets with Fore color using colorama module,0.34
valid url check with exception handeling,use of json with loop for index,0.37
valid url check with exception handeling,Exceotion handled by me,0.41
valid url check with exception handeling,Exception handled by me,0.44
exception handling of Sockets with Fore color using colorama module,use of json with loop for index,0.43
exception handling of Sockets with Fore color using colorama module,Exceotion handled by me,0.38
exception handling of Sockets with Fore color using colorama module,Exception handled by me,0.4
exception handling of Sockets with Fore color using colorama module,adding useful comment for cat,0.31
exception handling of Sockets with Fore color using colorama module,Fix typos in Electronics_Algorithms/resistance.py,0.31
exception handling of Sockets with Fore color using colorama module,Fix typos in Checker_game_by_dz/modules/__init__.py,0.32
use of json with loop for index,use of json,0.52
use of json with loop for index,comment for start,0.33
use of json with loop for index,Exceotion handled by me,0.33
use of json with loop for index,adding useful comment for cat,0.4
use of json,use full commets.,0.43
use of json,adding useful comment for cat,0.35
Hello Setup Completed,use full commets.,0.32
Hello Setup Completed,Final Raound Comment,0.44
Hello Setup Completed,fix typo update2,0.32
Hello Setup Completed,moved example projects from old repo,0.32
comment for start,use full commets.,0.41
comment for start,Final Raound Comment,0.32
comment for start,adding useful comment for cat,0.57
comment for start,Fix incorrect Manhattan distance calculation for custom goal states,0.33
comment for start,chenged to OOP style,0.43
comment for start,Fix typos in bank_managment_system/QTFrontend.py,0.31
main file code,use full commets.,0.45
main file code,Exceotion handled by me,0.38
main file code,Exception handled by me,0.38
main file code,added round in main function,0.38
main file code,adding useful comment for cat,0.47
main file code,Added comments in currency convertor main.py file for more readeability of code,0.3
main file code,fixed README typo,0.32
main file code,moved example projects from old repo,0.36
use full commets.,Exceotion handled by me,0.3
use full commets.,Exception handled by me,0.3
use full commets.,Final Raound Comment,0.38
use full commets.,adding useful comment for cat,0.57
Exceotion handled by me,Exception handled by me,0.96
Exceotion handled by me,chenged to OOP style,0.37
Exceotion handled by me,Fix typos in Droplistmenu/GamesCalender.py,0.31
Exceotion handled by me,Fix typos in Checker_game_by_dz/first.py,0.32
Exception handled by me,Final Raound Comment,0.33
Exception handled by me,chenged to OOP style,0.37
Exception handled by me,Fix typos in Droplistmenu/GamesCalender.py,0.31
Exception handled by me,Fix typos in Checker_game_by_dz/first.py,0.32
Final Raound Comment,added round in main function,0.38
Final Raound Comment,adding useful comment for cat,0.41
added round in main function,adding useful comment for cat,0.42
added round in main function,Added comments in currency convertor main.py file for more readeability of code,0.36
added round in main function,"fix docstrings and add start_app function
in other_pepole/get_ip_gui",0.31
added round in main function,Fix typos in bank_managment_system/QTFrontend.py,0.34
adding useful comment for cat,Fix incorrect Manhattan distance calculation for custom goal states,0.35
adding useful comment for cat,Add RemoteOK job scraper script,0.3
adding useful comment for cat,Added comments in currency convertor main.py file for more readeability of code,0.31
Fix incorrect Manhattan distance calculation for custom goal states,"fix docstrings and add start_app function
in other_pepole/get_ip_gui",0.34
Fix incorrect Manhattan distance calculation for custom goal states,Fix typos in Electronics_Algorithms/resistance.py,0.31
Fix incorrect Manhattan distance calculation for custom goal states,Fix typos in Compression_Analysis/PSNR.py,0.31
Fix incorrect Manhattan distance calculation for custom goal states,Fix typos in bank_managment_system/QTFrontend.py,0.31
Fix incorrect Manhattan distance calculation for custom goal states,moved example projects from old repo,0.33
chenged to OOP style,fix typo update2,0.33
chenged to OOP style,fixed README typo,0.32
"fix docstrings and add start_app function
in other_pepole/get_ip_gui",Fix typos in Checker_game_by_dz/modules/__init__.py,0.35
Fix typos in Electronics_Algorithms/resistance.py,Fix typos in Droplistmenu/GamesCalender.py,0.55
Fix typos in Electronics_Algorithms/resistance.py,Fix typos in Compression_Analysis/PSNR.py,0.51
Fix typos in Electronics_Algorithms/resistance.py,Fix typos in Checker_game_by_dz/first.py,0.52
Fix typos in Electronics_Algorithms/resistance.py,Fix typos in Checker_game_by_dz/modules/__init__.py,0.42
Fix typos in Electronics_Algorithms/resistance.py,Fix typos in brickout-game/brickout-game.py,0.54
Fix typos in Electronics_Algorithms/resistance.py,Fix typos in BoardGame-CLI/snakeLadder.py,0.4
Fix typos in Electronics_Algorithms/resistance.py,Fix typos in BlackJack_game/blackjack.py,0.45
Fix typos in Electronics_Algorithms/resistance.py,Fix typos in BlackJack_game/blackjack_simulate.py,0.51
Fix typos in Electronics_Algorithms/resistance.py,Fix typos in bank_managment_system/QTFrontend.py,0.49
Fix typos in Electronics_Algorithms/resistance.py,moved example projects from old repo,0.31
Fix typos in Droplistmenu/GamesCalender.py,Fix typos in Compression_Analysis/PSNR.py,0.53
Fix typos in Droplistmenu/GamesCalender.py,Fix typos in Checker_game_by_dz/first.py,0.51
Fix typos in Droplistmenu/GamesCalender.py,Fix typos in Checker_game_by_dz/modules/__init__.py,0.49
Fix typos in Droplistmenu/GamesCalender.py,Fix typos in brickout-game/brickout-game.py,0.56
Fix typos in Droplistmenu/GamesCalender.py,Fix typos in BoardGame-CLI/snakeLadder.py,0.65
Fix typos in Droplistmenu/GamesCalender.py,Fix typos in BlackJack_game/blackjack.py,0.51
Fix typos in Droplistmenu/GamesCalender.py,Fix typos in BlackJack_game/blackjack_simulate.py,0.51
Fix typos in Droplistmenu/GamesCalender.py,Fix typos in bank_managment_system/QTFrontend.py,0.51
Fix typos in Droplistmenu/GamesCalender.py,fix typo update2,0.38
Fix typos in Compression_Analysis/PSNR.py,Fix typos in Checker_game_by_dz/first.py,0.49
Fix typos in Compression_Analysis/PSNR.py,Fix typos in Checker_game_by_dz/modules/__init__.py,0.5
Fix typos in Compression_Analysis/PSNR.py,Fix typos in brickout-game/brickout-game.py,0.48
Fix typos in Compression_Analysis/PSNR.py,Fix typos in BoardGame-CLI/snakeLadder.py,0.49
Fix typos in Compression_Analysis/PSNR.py,Fix typos in BlackJack_game/blackjack.py,0.47
Fix typos in Compression_Analysis/PSNR.py,Fix typos in BlackJack_game/blackjack_simulate.py,0.47
Fix typos in Compression_Analysis/PSNR.py,Fix typos in bank_managment_system/QTFrontend.py,0.47
Fix typos in Compression_Analysis/PSNR.py,fix typo update2,0.35
Fix typos in Checker_game_by_dz/first.py,Fix typos in Checker_game_by_dz/modules/__init__.py,0.81
Fix typos in Checker_game_by_dz/first.py,Fix typos in brickout-game/brickout-game.py,0.6
Fix typos in Checker_game_by_dz/first.py,Fix typos in BoardGame-CLI/snakeLadder.py,0.54
Fix typos in Checker_game_by_dz/first.py,Fix typos in BlackJack_game/blackjack.py,0.6
Fix typos in Checker_game_by_dz/first.py,Fix typos in BlackJack_game/blackjack_simulate.py,0.58
Fix typos in Checker_game_by_dz/first.py,Fix typos in bank_managment_system/QTFrontend.py,0.57
Fix typos in Checker_game_by_dz/first.py,fix typo update2,0.32
Fix typos in Checker_game_by_dz/modules/__init__.py,Fix typos in brickout-game/brickout-game.py,0.53
Fix typos in Checker_game_by_dz/modules/__init__.py,Fix typos in BoardGame-CLI/snakeLadder.py,0.5
Fix typos in Checker_game_by_dz/modules/__init__.py,Fix typos in BlackJack_game/blackjack.py,0.55
Fix typos in Checker_game_by_dz/modules/__init__.py,Fix typos in BlackJack_game/blackjack_simulate.py,0.56
Fix typos in Checker_game_by_dz/modules/__init__.py,Fix typos in bank_managment_system/QTFrontend.py,0.48
Fix typos in brickout-game/brickout-game.py,Fix typos in BoardGame-CLI/snakeLadder.py,0.52
Fix typos in brickout-game/brickout-game.py,Fix typos in BlackJack_game/blackjack.py,0.65
Fix typos in brickout-game/brickout-game.py,Fix typos in BlackJack_game/blackjack_simulate.py,0.63
Fix typos in brickout-game/brickout-game.py,Fix typos in bank_managment_system/QTFrontend.py,0.57
Fix typos in brickout-game/brickout-game.py,fix typo update2,0.37
Fix typos in BoardGame-CLI/snakeLadder.py,Fix typos in BlackJack_game/blackjack.py,0.62
Fix typos in BoardGame-CLI/snakeLadder.py,Fix typos in BlackJack_game/blackjack_simulate.py,0.56
Fix typos in BoardGame-CLI/snakeLadder.py,Fix typos in bank_managment_system/QTFrontend.py,0.54
Fix typos in BoardGame-CLI/snakeLadder.py,fix typo update2,0.35
Fix typos in BlackJack_game/blackjack.py,Fix typos in BlackJack_game/blackjack_simulate.py,0.9
Fix typos in BlackJack_game/blackjack.py,Fix typos in bank_managment_system/QTFrontend.py,0.52
Fix typos in BlackJack_game/blackjack.py,fix typo update2,0.36
Fix typos in BlackJack_game/blackjack_simulate.py,Fix typos in bank_managment_system/QTFrontend.py,0.54
Fix typos in BlackJack_game/blackjack_simulate.py,fix typo update2,0.37
Fix typos in bank_managment_system/QTFrontend.py,fix typo update2,0.34
fix typo update2,fixed README typo,0.48
